,Hurricane ID,Hurricane Name,Hurricane Year,Hurricane Month,_name,state_name,Number of Fatalities,lat,lng,population
121,AL091985,GLORIA,1985,9,Nassau,New York,4.0,40.7,-73.6,1347483
122,AL091985,GLORIA,1985,9,Herkimer,New York,1.0,43.5,-74.9,64383
123,AL091985,GLORIA,1985,9,Orange,New York,1.0,41.4,-74.3,374341
124,AL091985,GLORIA,1985,9,Craven,North Carolina,1.0,35.1,-77.1,104873
125,AL091985,GLORIA,1985,9,Providence,Rhode Island,1.0,41.9,-71.6,628089
126,AL091985,GLORIA,1985,9,Bristol,Rhode Island,1.0,41.7,-71.3,49212
127,AL091985,GLORIA,1985,9,Bexar,Texas,2.0,29.4,-98.5,1755124
128,AL091985,GLORIA,1985,9,Sherman,Texas,1.0,36.3,-101.9,3014
129,AL091985,GLORIA,1985,9,Merrimack,New Hampshire,1.0,43.3,-71.7,146704
130,AL121985,JUAN,1985,10,Lafourche,Louisiana,1.0,29.5,-90.4,0
131,AL121985,JUAN,1985,10,Terrebonne,Louisiana,2.0,29.3,-90.8,0
132,AL121985,JUAN,1985,10,St. Bernard,Louisiana,4.0,29.9,-89.3,0
133,AL121985,JUAN,1985,10,St. Tammay,Louisiana,1.0,30.4,-90.0,0
134,AL121985,JUAN,1985,10,St. Mary,Louisiana,1.0,29.6,-91.5,0
135,AL121985,JUAN,1985,10,St. Landry,Louisiana,1.0,30.6,-92.0,0
136,AL131985,KATE,1985,11,Monroe,Florida,3.0,25.6,-81.2,73981
137,AL131985,KATE,1985,11,Jefferson,Florida,1.0,30.4,-83.9,14519
138,AL131985,KATE,1985,11,Thomas,Georgia,1.0,30.9,-83.9,44603
139,AL021986,BONNIE,1986,6,Jefferson,Texas,4.0,29.9,-94.1,253397
140,AL051986,CHARLEY,1986,8,Dare,North Carolina,1.0,35.6,-75.8,34178
141,AL091986,EARL,1986,9,NaN,,0.0,,,0
142,AL101986,FRANCES,1986,11,NaN,,0.0,,,0
143,AL021987,ARLENE,1987,8,NaN,,0.0,,,0
144,AL121987,EMILY,1987,9,NaN,,0.0,,,0
145,AL131987,FLOYD,1987,10,NaN,,0.0,,,0
146,AL041988,DEBBY,1988,9,NaN,,0.0,,,0
147,AL071988,FLORENCE,1988,9,Mobile,Alabama,1.0,30.7,-88.2,413232
148,AL081988,GILBERT,1988,9,Bexar,Texas,1.0,29.4,-98.5,1755124
149,AL091988,HELENE,1988,9,NaN,,0.0,,,0
150,AL111988,JOAN,1988,10,NaN,,0.0,,,0
151,AL041989,CHANTAL,1989,8,Brazos,Texas,2.0,30.7,-96.3,197493
152,AL051989,DEAN,1989,8,NaN,,0.0,,,0
153,AL071989,ERIN,1989,8,NaN,,0.0,,,0
154,AL081989,FELIX,1989,9,NaN,,0.0,,,0
155,AL101989,GABRIELLE,1989,9,Worcester,Maryland,1.0,38.2,-75.3,51505
156,AL101989,GABRIELLE,1989,9,Essex,Massachusetts,2.0,42.6,-70.9,751490
157,AL101989,GABRIELLE,1989,9,Pulaski,Virginia,1.0,37.1,-80.7,34736
158,AL111989,HUGO,1989,9,Guayama,Puerto Rico,6.0,,,0
159,AL111989,HUGO,1989,9,Chenango,New York,1.0,42.5,-75.6,50184
160,AL111989,HUGO,1989,9,Cumberland,North Carolina,2.0,35.1,-78.8,330877
161,AL111989,HUGO,1989,9,Union,North Carolina,1.0,35.0,-80.5,204998
162,AL111989,HUGO,1989,9,Charleston,South Carolina,3.0,32.8,-79.9,357492
163,AL111989,HUGO,1989,9,Berkeley,South Carolina,6.0,33.2,-80.0,183155
164,AL111989,HUGO,1989,9,Orangeburg,South Carolina,1.0,33.4,-80.8,91678
165,AL111989,HUGO,1989,9,Sumter,South Carolina,1.0,33.9,-80.4,107291
166,AL111989,HUGO,1989,9,Lee,South Carolina,1.0,34.2,-80.3,18883
167,AL111989,HUGO,1989,9,Richland,South Carolina,1.0,34.0,-80.9,389481
168,AL141989,JERRY,1989,10,Galveston,Texas,3.0,29.2,-94.9,295609
169,AL031990,BERTHA,1990,7,NaN,,0.0,,,0
170,AL051990,DIANA,1990,8,NaN,,0.0,,,0
171,AL081990,GUSTAV,1990,8,NaN,,0.0,,,0
172,AL101990,ISIDORE,1990,9,NaN,,0.0,,,0
173,AL121990,JOSEPHINE,1990,10,NaN,,0.0,,,0
174,AL131990,KLAUS,1990,10,Spartanburg,South Carolina,4.0,34.9,-82.0,286201
175,AL141990,LILI,1990,10,NaN,,0.0,,,0
176,AL161990,NANA,1990,10,NaN,,0.0,,,0
177,AL031991,BOB,1991,8,Horry,South Carolina,1.0,33.9,-79.0,275695
178,AL031991,BOB,1991,8,Dare,North Carolina,1.0,35.6,-75.8,34178
179,AL031991,BOB,1991,8,New York,New York,2.0,40.8,-74.0,1611550
180,AL031991,BOB,1991,8,Middlesex,Connecticut,3.0,41.4,-72.5,166265
181,AL031991,BOB,1991,8,New London,Connecticut,1.0,41.5,-72.1,273226
182,AL031991,BOB,1991,8,Windham,Connecticut,2.0,41.8,-72.0,118396
183,AL031991,BOB,1991,8,Barnstable,Massachusetts,1.0,41.8,-70.2,215340
184,AL031991,BOB,1991,8,Rockingham,New Hampshire,2.0,43.0,-71.1,295963
185,AL031991,BOB,1991,8,York,Maine,3.0,43.4,-70.7,198207
186,AL061991,CLAUDETTE,1991,9,NaN,,0.0,,,0
187,AL111991,GRACE,1991,10,NaN,,0.0,,,0
188,AL041992,ANDREW,1992,8,Miami Dade,Florida,40.0,25.6,-80.5,0
189,AL041992,ANDREW,1992,8,St. John the Baptist,Louisiana,8.0,30.1,-90.5,0
190,AL051992,BONNIE,1992,9,NaN,,0.0,,,0
191,AL061992,CHARLEY,1992,9,NaN,,0.0,,,0
192,AL101992,FRANCES,1992,10,NaN,,0.0,,,0
193,AL051993,EMILY,1993,8,Dare,North Carolina,3.0,35.6,-75.8,34178
194,AL071993,FLOYD,1993,9,NaN,,0.0,,,0
195,AL081993,GERT,1993,9,NaN,,0.0,,,0
196,AL091993,HARVEY,1993,9,NaN,,0.0,,,0
197,AL041994,CHRIS,1994,8,NaN,,0.0,,,0
198,AL111994,FLORENCE,1994,11,NaN,,0.0,,,0
199,AL121994,GORDON,1994,11,Miami Dade,Florida,7.0,25.6,-80.5,0
200,AL121994,GORDON,1994,11,Brevard,Florida,1.0,28.3,-80.7,544439
201,AL121994,GORDON,1994,11,Broward,Florida,1.0,26.2,-80.5,1787691
202,AL011995,ALLISON,1995,6,NaN,,0.0,,,0
203,AL051995,ERIN,1995,8,Palm Beach,Florida,1.0,26.6,-80.4,1337065
204,AL051995,ERIN,1995,8,Indian River,Florida,3.0,27.7,-80.6,139086
205,AL051995,ERIN,1995,8,Walton,Florida,2.0,30.6,-86.2,55588
206,AL071995,FELIX,1995,8,Monmouth,New Jersey,5.0,40.3,-74.2,629757
207,AL071995,FELIX,1995,8,Dare,North Carolina,3.0,35.6,-75.8,34178
208,AL091995,HUMBERTO,1995,8,NaN,,0.0,,,0
209,AL101995,IRIS,1995,8,NaN,,0.0,,,0
210,AL131995,LUIS,1995,8,St. Thomas,Virgin Islands,5.0,,,0
211,AL131995,LUIS,1995,8,St. Croix,Virgin Islands,1.0,,,0
212,AL131995,LUIS,1995,8,St. John,Virgin Islands,1.0,,,0
213,AL131995,LUIS,1995,8,Fajardo,Puerto Rico,1.0,,,0
214,AL151995,MARILYN,1995,9,NaN,,0.0,,,0
215,AL161995,NOEL,1995,9,NaN,,0.0,,,0
216,AL171995,OPAL,1995,10,Okaloosa,Florida,1.0,30.7,-86.6,183080
217,AL171995,OPAL,1995,10,Jefferson,Alabama,2.0,33.6,-86.9,657789
218,AL171995,OPAL,1995,10,Crisp,Georgia,8.0,31.9,-83.8,23761
219,AL171995,OPAL,1995,10,Rabun,Georgia,2.0,34.9,-83.4,16270
220,AL191995,ROXANNE,1995,10,NaN,,0.0,,,0
221,AL211995,TANYA,1995,10,NaN,,0.0,,,0
222,AL021996,BERTHA,1996,7,Duval,Florida,1.0,30.3,-81.6,872405
223,AL021996,BERTHA,1996,7,Miami Dade,Florida,2.0,25.6,-80.5,0
224,AL021996,BERTHA,1996,7,Grafton,New Hampshire,1.0,43.9,-71.8,89066
225,AL021996,BERTHA,1996,7,Ocean,New Jersey,1.0,39.9,-74.3,579162
226,AL021996,BERTHA,1996,7,Columbus,North Carolina,1.0,34.3,-78.6,57693
227,AL021996,BERTHA,1996,7,Onslow,North Carolina,1.0,34.8,-77.5,185013
228,AL021996,BERTHA,1996,7,Luquillo,Puerto Rico,3.0,,,0
229,AL031996,CESAR,1996,7,NaN,,0.0,,,0
230,AL041996,DOLLY,1996,8,NaN,,0.0,,,0
231,AL051996,EDOUARD,1996,8,Atlantic,New Jersey,1.0,39.5,-74.6,275107
232,AL051996,EDOUARD,1996,8,Ocean,New Jersey,1.0,39.9,-74.3,579162
233,AL061996,FRAN,1996,8,Pitt,North Carolina,1.0,35.6,-77.4,170806
234,AL061996,FRAN,1996,8,Duplin,North Carolina,1.0,34.9,-77.9,59276
235,AL061996,FRAN,1996,8,Onslow,North Carolina,2.0,34.8,-77.5,185013
236,AL061996,FRAN,1996,8,Pender,North Carolina,2.0,34.5,-77.9,53195
237,AL061996,FRAN,1996,8,Bladen,North Carolina,1.0,34.6,-78.5,34920
238,AL061996,FRAN,1996,8,Sampson,North Carolina,3.0,35.0,-78.4,63552
239,AL061996,FRAN,1996,8,Johnston,North Carolina,3.0,35.5,-78.4,172534
240,AL061996,FRAN,1996,8,Cumberland,North Carolina,1.0,35.1,-78.8,330877
241,AL061996,FRAN,1996,8,Perry,Pennsylvania,1.0,40.4,-77.3,45986
242,AL061996,FRAN,1996,8,Cumberland,Pennsylvania,1.0,40.2,-77.3,237029
243,AL061996,FRAN,1996,8,Montgomery,Pennsylvania,2.0,40.2,-75.4,805186
244,AL061996,FRAN,1996,8,Horry,South Carolina,1.0,33.9,-79.0,275695
245,AL061996,FRAN,1996,8,Williamsburg,South Carolina,1.0,33.6,-79.7,34112
246,AL061996,FRAN,1996,8,Grant,West Virginia,1.0,39.1,-79.2,11897
247,AL061996,FRAN,1996,8,Pendleton,West Virginia,1.0,38.7,-79.3,7536
248,AL081996,HORTENSE,1996,9,Fajardo,Puerto Rico,5.0,,,0
249,AL081996,HORTENSE,1996,9,Isabela,Puerto Rico,3.0,,,0
250,AL081996,HORTENSE,1996,9,Lajas,Puerto Rico,7.0,,,0
251,AL081996,HORTENSE,1996,9,San Sebastián,Puerto Rico,3.0,,,0
252,AL091996,ISIDORE,1996,9,NaN,,0.0,,,0
253,AL121996,LILI,1996,10,Palm Beach,Florida,1.0,26.6,-80.4,1337065
254,AL131996,MARCO,1996,11,NaN,,0.0,,,0
255,AL031997,BILL,1997,7,NaN,NA ,0.0,,,0
256,AL051997,DANNY,1997,7,Mobile,Alabama,1.0,30.7,-88.2,413232
257,AL051997,DANNY,1997,7,Bergen,New Jersey,2.0,41.0,-74.1,914233
258,AL051997,DANNY,1997,7,Queens,New York,2.0,40.7,-73.8,2262013
259,AL051997,DANNY,1997,7,Mecklenburg,North Carolina,3.0,35.2,-80.8,944943
260,AL051997,DANNY,1997,7,Lexington,South Carolina,1.0,33.9,-81.3,266383
261,AL071997,ERIKA,1997,9,NaN,NA ,0.0,,,0
262,AL021998,BONNIE,1998,8,Sussex,Delaware,1.0,38.7,-75.3,200453
263,AL021998,BONNIE,1998,8,Onondaga,New York,1.0,43.0,-76.2,467905
264,AL021998,BONNIE,1998,8,Queens,New York,1.0,40.7,-73.8,2262013
265,AL021998,BONNIE,1998,8,Currituck,North Carolina,1.0,36.4,-75.9,23904
266,AL021998,BONNIE,1998,8,Lexington,South Carolina,1.0,33.9,-81.3,266383
267,AL041998,DANIELLE,1998,8,NaN,NA ,0.0,,,0
268,AL051998,EARL,1998,9,Bay,Florida,2.0,30.2,-85.6,169521
269,AL051998,EARL,1998,9,Beaufort,South Carolina,1.0,32.4,-80.7,163914
270,AL071998,GEORGES,1998,9,Mobile,Alabama,1.0,30.7,-88.2,413232
271,AL091998,IVAN,1998,9,NaN,NA ,,,,0
272,AL101998,JEANNE,1998,9,NaN,NA ,,,,0
273,AL111998,KARL,1998,9,NaN,NA ,,,,0
274,AL121998,LISA,1998,10,NaN,NA ,,,,0
275,AL131998,MITCH,1998,10,Monroe,Florida,2.0,25.6,-81.2,73981
276,AL141998,NICOLE,1998,11,NaN,,,,,0
277,AL031999,BRET,1999,8,NaN,,0.0,,,0
278,AL041999,CINDY,1999,8,NaN,,0.0,,,0
279,AL051999,DENNIS,1999,8,Palm Beach,Florida,1.0,26.6,-80.4,1337065
280,AL051999,DENNIS,1999,8,Onslow,North Carolina,2.0,34.8,-77.5,185013
281,AL081999,FLOYD,1999,9,Bergen,New Jersey,2.0,41.0,-74.1,914233
282,AL081999,FLOYD,1999,9,Passaic,New Jersey,1.0,41.0,-74.3,504472
283,AL081999,FLOYD,1999,9,Salem,New Jersey,1.0,39.6,-75.4,65883
284,AL081999,FLOYD,1999,9,Somerset,New Jersey,2.0,40.6,-74.6,326597
285,AL081999,FLOYD,1999,9,Dutchess,New York,1.0,41.8,-73.7,298361
286,AL081999,FLOYD,1999,9,Columbus,North Carolina,1.0,34.3,-78.6,57693
287,AL081999,FLOYD,1999,9,Edgecombe,North Carolina,13.0,35.9,-77.6,56059
288,AL081999,FLOYD,1999,9,Chester,Pennsylvania,5.0,40.0,-75.7,503404
289,AL081999,FLOYD,1999,9,Montgomery,Pennsylvania,9.0,40.2,-75.4,805186
290,AL081999,FLOYD,1999,9,Delaware,Pennsylvania,1.0,39.9,-75.4,559079
291,AL081999,FLOYD,1999,9,Philadelphia,Pennsylvania,1.0,40.0,-75.1,1539649
292,AL081999,FLOYD,1999,9,Orange,Vermont,1.0,44.0,-72.4,29007
293,AL081999,FLOYD,1999,9,Greensville,Virginia,1.0,36.7,-77.6,11966
294,AL081999,FLOYD,1999,9,Halifax,Virginia,1.0,36.8,-78.9,35976
295,AL081999,FLOYD,1999,9,New Castle,Delaware,2.0,39.6,-75.6,542282
296,AL091999,GERT,1999,9,Hancock,Maine,2.0,44.6,-68.4,54523
297,AL131999,IRENE,1999,10,Bergen,New Jersey,1.0,41.0,-74.1,914233
298,AL131999,IRENE,1999,10,Beaufort,North Carolina,1.0,35.5,-76.8,47663
299,AL141999,JOSE,1999,10,NaN,,0.0,,,0
300,AL161999,LENNY,1999,11,NaN,,0.0,,,0
301,AL032000,ALBERTO,2000,8,NaN,,0.0,,,0
302,AL072000,DEBBY,2000,8,NaN,,0.0,,,0
303,AL102000,FLORENCE,2000,9,New Hanover,North Carolina,3.0,34.2,-77.9,206047
304,AL112000,GORDON,2000,9,Escambia,Alabama,1.0,31.1,-87.2,38202
305,AL132000,ISAAC,2000,9,NaN,,0.0,,,0
306,AL142000,JOYCE,2000,9,NaN,,0.0,,,0
307,AL152000,KEITH,2000,9,NaN,,0.0,,,0
308,AL172000,MICHAEL,2000,10,NaN,,0.0,,,0
309,AL062001,ERIN,2001,9,NaN,,0.0,,,0
310,AL072001,FELIX,2001,9,NaN,,0.0,,,0
311,AL082001,GABRIELLE,2001,9,Baldwin,Alabama,1.0,30.7,-87.7,186534
312,AL082001,GABRIELLE,2001,9,Seminole,Florida,1.0,28.7,-81.1,426415
313,AL082001,GABRIELLE,2001,9,Monroe,Florida,1.0,25.6,-81.2,73981
314,AL102001,HUMBERTO,2001,9,NaN,,0.0,,,0
315,AL112001,IRIS,2001,10,NaN,,0.0,,,0
316,AL132001,KAREN,2001,10,NaN,,0.0,,,0
317,AL152001,MICHELLE,2001,11,NaN,,0.0,,,0
318,AL162001,NOEL,2001,11,NaN,,0.0,,,0
319,AL172001,OLGA,2001,11,NaN,,0.0,,,0
320,AL082002,GUSTAV,2002,9,Fairfield,Connecticut,1.0,41.2,-73.4,929398
321,AL082002,GUSTAV,2002,9,Union,New Jersey,1.0,40.7,-74.3,541300
322,AL082002,GUSTAV,2002,9,Mercer,New Jersey,1.0,40.3,-74.7,368201
323,AL082002,GUSTAV,2002,9,Hunterdon,New Jersey,1.0,40.6,-74.9,127365
324,AL082002,GUSTAV,2002,9,New York,New York,1.0,40.8,-74.0,1611550
325,AL082002,GUSTAV,2002,9,Bucks,Pennsylvania,1.0,40.3,-75.1,626067
326,AL082002,GUSTAV,2002,9,East Baton Rouge,Louisiana,2.0,30.5,-91.1,0
327,AL082002,GUSTAV,2002,9,Rapides,Louisiana,2.0,31.2,-92.5,0
328,AL082002,GUSTAV,2002,9,Warren,Mississippi,2.0,32.4,-90.9,48306
329,AL082002,GUSTAV,2002,9,Carroll,Georgia,4.0,33.6,-85.1,110758
330,AL102002,ISIDORE,2002,9,Manatee,Florida,1.0,27.5,-82.4,327543
331,AL102002,ISIDORE,2002,9,Lafourche,Louisiana,1.0,29.5,-90.4,0
332,AL102002,ISIDORE,2002,9,Jackson,Mississippi,1.0,30.5,-88.6,139936
333,AL122002,KYLE,2002,9,NaN,,0.0,,,0
334,AL132002,LILI,2002,9,Acadia,Louisiana,2.0,30.3,-92.4,0
335,AL042003,CLAUDETTE,2003,7,Atascosa,Texas,1.0,28.9,-98.5,45483
336,AL052003,DANNY,2003,7,NaN,,0.0,,,0
337,AL082003,ERIKA,2003,8,NaN,,0.0,,,0
338,AL102003,FABIAN,2003,8,Dare,North Carolina,1.0,35.6,-75.8,34178
339,AL132003,ISABEL,2003,9,Frederick,Maryland,1.0,39.5,-77.4,237370
340,AL132003,ISABEL,2003,9,Cape May,New Jersey,1.0,39.1,-74.8,96561
341,AL132003,ISABEL,2003,9,Warren,New Jersey,1.0,40.9,-75.0,108218
342,AL132003,ISABEL,2003,9,Nassau,New York,1.0,40.7,-73.6,1347483
343,AL132003,ISABEL,2003,9,Franklin,North Carolina,1.0,36.1,-78.3,60964
344,AL132003,ISABEL,2003,9,Washington,Rhode Island,1.0,41.4,-71.6,126471
345,AL132003,ISABEL,2003,9,Henrico,Virginia,1.0,37.4,-77.3,310812
346,AL132003,ISABEL,2003,9,Richmond,Virginia,2.0,37.9,-76.7,9207
347,AL132003,ISABEL,2003,9,Chesterfield,Virginia,1.0,37.4,-77.6,320422
348,AL132003,ISABEL,2003,9,Albemarle,Virginia,2.0,38.0,-78.6,100259
349,AL132003,ISABEL,2003,9,Fluvanna,Virginia,3.0,37.8,-78.3,25956
350,AL152003,JUAN,2003,9,NaN,,0.0,,,0
351,AL162003,KATE,2003,9,NaN,,0.0,,,0
352,AL012004,ALEX,2004,8,Dare,North Carolina,1.0,35.6,-75.8,34178
353,AL032004,CHARLEY,2004,8,Osceola,Florida,1.0,28.1,-81.1,278733
354,AL032004,CHARLEY,2004,8,Orange,Florida,3.0,28.5,-81.3,1170765
355,AL032004,CHARLEY,2004,8,Volusia,Florida,2.0,29.1,-81.2,494479
356,AL032004,CHARLEY,2004,8,Brevard,Florida,1.0,28.3,-80.7,544439
357,AL032004,CHARLEY,2004,8,Polk,Florida,1.0,28.0,-81.7,609924
358,AL032004,CHARLEY,2004,8,Hardee,Florida,1.0,27.5,-81.8,27657
